rho,ic_spread,concentration,n_features,n_samples,noise,seed,cond,mean_cv,median_cv,max_cv,n_active,coef_err,spurious,missed
0.25,0.25,0.75,9,100,0.001,3,97.63532104913789,0.5412524606712052,0.6390915414698319,0.8358771513667451,8,0.005892936332851983,0,0
0.25,0.25,0.75,9,100,0.001,4,138.37841061817238,0.6933095043859963,0.4828484584089494,2.1664333143074814,10,0.022455163473371845,2,0
0.25,0.25,0.75,9,100,0.001,5,73.74702039754034,0.5973207359658766,0.6917842346299102,0.9186612820400826,8,0.0025328390187927905,0,0
0.1,0.1,0.9,9,100,0.001,0,179.26134087530892,0.5861894654913645,0.5470008076464647,1.1669952129504695,12,0.17601027427070132,4,0
0.1,0.1,0.9,9,100,0.001,1,63.731690356869564,0.3754292980044108,0.41650714993221793,0.6549214362347562,8,0.0013350860823279655,0,0
0.1,0.1,0.9,9,100,0.001,2,82.59753439215038,0.41611360422586013,0.29135973830276,0.8195455902219616,11,0.2848138455851065,3,0
0.1,0.1,0.9,9,100,0.001,3,258.37668093978925,0.45336915079324686,0.5063738357713568,0.7151463358602409,8,0.015027949659129037,0,0
0.1,0.1,0.9,9,100,0.001,4,338.2116179950377,0.660351038885417,0.47119958932213785,1.9494091023884532,10,0.05628914097712741,2,0
0.1,0.1,0.9,9,100,0.001,5,155.65317471080652,1.316929577163033,0.7795765850741901,4.284944261255256,11,0.0106998939719556,3,0
0.01,0.01,0.99,9,100,0.001,0,1748.7590668133546,0.6609096425469562,0.16398970736221438,2.7427235940659807,10,0.11449689312660423,2,0
0.01,0.01,0.99,9,100,0.001,1,640.8826632186241,0.7143972402275628,0.4532228481264767,3.9916291647503894,9,0.020370650982835165,1,0
0.01,0.01,0.99,9,100,0.001,2,790.6814488129407,0.34974819687643394,0.3159858875861997,0.8221318716928667,10,0.33199169933735884,2,0
0.01,0.01,0.99,9,100,0.001,3,2652.8716599109653,0.46769846981370466,0.31639490083012234,1.1443196615837787,10,0.2241797735988715,2,0
0.01,0.01,0.99,9,100,0.001,4,3340.8448745019227,0.7481037569932081,0.3807938916018419,2.326886682241806,11,0.45871988022508925,3,0
0.01,0.01,0.99,9,100,0.001,5,1417.4545630082393,1.2001318667574579,0.6495783769601895,3.4953729195156167,12,0.09949483243131894,4,0
0.0,0.0,1.0,9,100,0.001,0,327556685400.9994,0.87003471052146,1.2552106260948768,1.308817180049365,6,0.8523106106559295,4,6
0.0,0.0,1.0,9,100,0.001,1,730376183649.8479,0.9633050852095604,1.3688254082123468,1.5167570787299443,6,0.8523043619153344,4,6
0.0,0.0,1.0,9,100,0.001,2,407734717964.57513,0.4856938531178625,0.0569807789182852,1.40489607704214,6,0.8522438890085697,4,6
0.0,0.0,1.0,9,100,0.001,3,341582132948.2502,0.910204175527817,1.3034565688710607,1.3753412757755932,6,0.852319339451116,4,6
0.0,0.0,1.0,9,100,0.001,4,560465248277.0765,0.948806249658965,1.3663963015573652,1.4298465491518215,6,0.8523152812208814,4,6
0.0,0.0,1.0,9,100,0.001,5,662373936413.2028,0.9272244770047684,1.3608069572459538,1.3691656150587967,6,0.8523038593087596,4,6
1.0,1.0,0.0,9,100,0.01,0,23.36112160998824,0.9175219956031443,0.6729584136967827,3.5156175499395967,13,0.20607530425659348,5,0
1.0,1.0,0.0,9,100,0.01,1,31.700426720473068,0.9107917365784017,1.1094605903767472,1.9799272180046057,15,0.023502904149603876,7,0
